Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-dawpod28 because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
yloo3
lucylou

Training file_len = 3234143

-----------
|  TRAIN  |
-----------

[0m 5s (520 52%) 3.4486 (3.0385)]
[0m 5s (520 52%) 3.4486 (3.0385)]
[0m 5s (524 52%) 3.4485 (2.9920)]
[0m 5s (525 52%) 3.4475 (2.9540)]
[0m 5s (526 52%) 3.4467 (3.0203)]
[0m 5s (528 52%) 3.4451 (2.4900)]
[0m 5s (530 53%) 3.4459 (3.6131)]
[0m 5s (540 54%) 3.4458 (3.8013)]
[0m 5s (543 54%) 3.4448 (2.7584)]
[0m 5s (546 54%) 3.4442 (3.0274)]
[0m 5s (550 55%) 3.4523 (3.1865)]
[0m 5s (560 56%) 3.4504 (3.2697)]
[0m 5s (570 56%) 3.4487 (3.0723)]
[0m 5s (580 57%) 3.4482 (3.6243)]
[0m 5s (589 58%) 3.4441 (3.0805)]
[0m 5s (590 59%) 3.4449 (3.9348)]
[0m 6s (600 60%) 3.4472 (3.5477)]
[0m 6s (610 61%) 3.4485 (3.5816)]
[0m 6s (620 62%) 3.4441 (2.7910)]
[0m 6s (620 62%) 3.4441 (2.7910)]
[0m 6s (621 62%) 3.4434 (3.0204)]
[0m 6s (622 62%) 3.4430 (3.1740)]
[0m 6s (623 62%) 3.4429 (3.3655)]
[0m 6s (625 62%) 3.4424 (3.0297)]
[0m 6s (627 62%) 3.4411 (2.4988)]
[0m 6s (628 62%) 3.4408 (3.2423)]
[0m 6s (629 62%) 3.4405 (3.2940)]
[0m 6s (630 63%) 3.4408 (3.5736)]
[0m 6s (634 63%) 3.4402 (3.1287)]
[0m 6s (635 63%) 3.4395 (3.0035)]
[0m 6s (636 63%) 3.4387 (2.9074)]
[0m 6s (637 63%) 3.4378 (2.8535)]
[0m 6s (638 63%) 3.4371 (3.0281)]
[0m 6s (639 63%) 3.4358 (2.5704)]
[0m 6s (640 64%) 3.4349 (2.9028)]
[0m 6s (640 64%) 3.4349 (2.9028)]
[0m 6s (641 64%) 3.4347 (3.2755)]
[0m 6s (650 65%) 3.4351 (2.9137)]
[0m 6s (652 65%) 3.4346 (3.1236)]
[0m 6s (653 65%) 3.4344 (3.3415)]
[0m 6s (658 65%) 3.4344 (3.2452)]
[0m 6s (659 65%) 3.4340 (3.1451)]
[0m 6s (660 66%) 3.4326 (2.5528)]
[0m 6s (660 66%) 3.4326 (2.5528)]
[0m 6s (668 66%) 3.4325 (2.5618)]
[0m 6s (669 66%) 3.4322 (3.2671)]
[0m 6s (670 67%) 3.4322 (3.4233)]
[0m 6s (670 67%) 3.4322 (3.4233)]
[0m 6s (671 67%) 3.4316 (3.0456)]
[0m 6s (673 67%) 3.4316 (3.0696)]
[0m 6s (676 67%) 3.4315 (3.2391)]
[0m 6s (677 67%) 3.4300 (2.4034)]
[0m 6s (680 68%) 3.4293 (2.9073)]
[0m 6s (680 68%) 3.4293 (2.9073)]
[0m 6s (681 68%) 3.4293 (3.3894)]
[0m 6s (682 68%) 3.4290 (3.2519)]
[0m 6s (686 68%) 3.4283 (2.7179)]
[0m 6s (687 68%) 3.4281 (3.2878)]
[0m 6s (688 68%) 3.4272 (2.8554)]
[0m 6s (689 68%) 3.4270 (3.2725)]
[0m 7s (690 69%) 3.4266 (3.1317)]
[0m 7s (690 69%) 3.4266 (3.1317)]
[0m 7s (692 69%) 3.4261 (3.0178)]
[0m 7s (694 69%) 3.4259 (2.5996)]
[0m 7s (699 69%) 3.4253 (2.9021)]
[0m 7s (700 70%) 3.4263 (4.1562)]
[0m 7s (701 70%) 3.4252 (2.6813)]
[0m 7s (702 70%) 3.4248 (3.1369)]
[0m 7s (703 70%) 3.4241 (2.8895)]
[0m 7s (704 70%) 3.4238 (3.2394)]
[0m 7s (705 70%) 3.4238 (3.4094)]
[0m 7s (706 70%) 3.4233 (3.0712)]
[0m 7s (707 70%) 3.4227 (2.9772)]
[0m 7s (708 70%) 3.4217 (2.7408)]
[0m 7s (709 70%) 3.4214 (3.2235)]
[0m 7s (710 71%) 3.4236 (4.9785)]
[0m 7s (720 72%) 3.4214 (2.9096)]
[0m 7s (720 72%) 3.4214 (2.9096)]
[0m 7s (721 72%) 3.4212 (3.2601)]
[0m 7s (722 72%) 3.4207 (3.0884)]
[0m 7s (730 73%) 3.4248 (3.7620)]
[0m 7s (740 74%) 3.4237 (4.1740)]
[0m 7s (750 75%) 3.4235 (3.7223)]
[0m 7s (759 75%) 3.4205 (3.0290)]
[0m 7s (760 76%) 3.4202 (3.2529)]
[0m 7s (760 76%) 3.4202 (3.2529)]
[0m 7s (761 76%) 3.4201 (3.3201)]
[0m 7s (770 77%) 3.4265 (5.2320)]
[0m 7s (780 78%) 3.4261 (3.0802)]
[0m 8s (790 79%) 3.4230 (3.5480)]
[0m 8s (800 80%) 3.4214 (3.3421)]
[0m 8s (810 81%) 3.4209 (2.9819)]
[0m 8s (811 81%) 3.4200 (2.6527)]
[0m 8s (812 81%) 3.4185 (2.1689)]
[0m 8s (813 81%) 3.4181 (3.1361)]
[0m 8s (814 81%) 3.4181 (3.4078)]
[0m 8s (815 81%) 3.4176 (3.0543)]
[0m 8s (816 81%) 3.4169 (2.8304)]
[0m 8s (819 81%) 3.4166 (3.0862)]
[0m 8s (820 82%) 3.4198 (6.0340)]
[0m 8s (830 83%) 3.4170 (3.2263)]
[0m 8s (831 83%) 3.4165 (2.9937)]
[0m 8s (832 83%) 3.4161 (3.0502)]
[0m 8s (833 83%) 3.4157 (3.1393)]
[0m 8s (834 83%) 3.4151 (2.8495)]
[0m 8s (840 84%) 3.4159 (3.2420)]
[0m 8s (844 84%) 3.4150 (2.9263)]
[0m 8s (845 84%) 3.4146 (3.0376)]
[0m 8s (846 84%) 3.4145 (3.3471)]
