Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-h7lac9vx because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
ight
Become yo
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 1s (224 74%) 2.9435 (2.2252)]
[0m 1s (225 75%) 2.9401 (2.1786)]
[0m 1s (225 75%) 2.9401 (2.1786)]
[0m 1s (227 75%) 2.9376 (2.2050)]
[0m 1s (228 76%) 2.9324 (1.7551)]
[0m 1s (228 76%) 2.9324 (1.7551)]
[0m 1s (229 76%) 2.9314 (2.7118)]
[0m 1s (230 76%) 2.9277 (2.0860)]
[0m 1s (231 77%) 2.9279 (2.9660)]
[0m 1s (234 78%) 2.9279 (2.2904)]
[0m 1s (235 78%) 2.9253 (2.3039)]
[0m 1s (236 78%) 2.9230 (2.3877)]
[0m 1s (237 79%) 2.9219 (2.6647)]
[0m 1s (237 79%) 2.9219 (2.6647)]
[0m 1s (240 80%) 2.9286 (3.2731)]
[0m 1s (243 81%) 2.9264 (2.6484)]
[0m 1s (246 82%) 2.9210 (2.2703)]
[0m 1s (246 82%) 2.9210 (2.2703)]
[0m 1s (247 82%) 2.9178 (2.1456)]
[0m 1s (248 82%) 2.9178 (2.9046)]
[0m 1s (249 83%) 2.9164 (2.5748)]
[0m 1s (249 83%) 2.9164 (2.5748)]
[0m 1s (252 84%) 2.9183 (3.2358)]
[0m 1s (254 84%) 2.9145 (2.1410)]
[0m 1s (255 85%) 2.9134 (2.6207)]
[0m 1s (255 85%) 2.9134 (2.6207)]
[0m 1s (256 85%) 2.9115 (2.4422)]
[0m 1s (257 85%) 2.9091 (2.2858)]
[0m 1s (258 86%) 2.9073 (2.4325)]
[0m 1s (258 86%) 2.9073 (2.4325)]
[0m 1s (260 86%) 2.9064 (2.5059)]
[0m 1s (261 87%) 2.9069 (3.0383)]
[0m 1s (262 87%) 2.9053 (2.4946)]
[0m 1s (263 87%) 2.9043 (2.6566)]
[0m 1s (264 88%) 2.9037 (2.7336)]
[0m 1s (264 88%) 2.9037 (2.7336)]
[0m 1s (265 88%) 2.9008 (2.1478)]
[0m 1s (266 88%) 2.8984 (2.2515)]
[0m 1s (267 89%) 2.8993 (3.1375)]
[0m 1s (268 89%) 2.8954 (1.8424)]
[0m 1s (270 90%) 2.8946 (2.3895)]
[0m 1s (270 90%) 2.8946 (2.3895)]
[0m 1s (271 90%) 2.8900 (1.6582)]
[0m 1s (273 91%) 2.8921 (2.8393)]
[0m 1s (276 92%) 2.8892 (2.4208)]
[0m 1s (276 92%) 2.8892 (2.4208)]
[0m 1s (278 92%) 2.8883 (2.5595)]
[0m 1s (279 93%) 2.8876 (2.6796)]
[0m 1s (279 93%) 2.8876 (2.6796)]
[0m 1s (280 93%) 2.8873 (2.8177)]
[0m 1s (281 93%) 2.8870 (2.7807)]
[0m 1s (282 94%) 2.8832 (1.8318)]
[0m 1s (282 94%) 2.8832 (1.8318)]
[0m 1s (283 94%) 2.8814 (2.3771)]
[0m 1s (284 94%) 2.8798 (2.4123)]
[0m 1s (285 95%) 2.8757 (1.7199)]
[0m 1s (285 95%) 2.8757 (1.7199)]
[0m 1s (286 95%) 2.8734 (2.2125)]
[0m 1s (287 95%) 2.8718 (2.4299)]
[0m 1s (288 96%) 2.8713 (2.7076)]
[0m 1s (288 96%) 2.8713 (2.7076)]
[0m 1s (289 96%) 2.8695 (2.3448)]
[0m 1s (290 96%) 2.8663 (1.9622)]
[0m 1s (291 97%) 2.8673 (3.1551)]
[0m 1s (294 98%) 2.8681 (2.5117)]
[0m 1s (297 99%) 2.8667 (2.7912)]
[0m 1s (300 100%) 2.8655 (2.4469)]
[0m 1s (300 100%) 2.8655 (2.4469)]
