Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-p2i45w2y because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
y contraries
E
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 24s (532 66%) 3.7399 (3.2079)]
[0m 24s (535 66%) 3.7394 (3.0698)]
[0m 24s (536 67%) 3.7381 (3.0485)]
[0m 24s (536 67%) 3.7381 (3.0485)]
[0m 24s (537 67%) 3.7375 (3.4026)]
[0m 24s (538 67%) 3.7371 (3.4968)]
[0m 24s (539 67%) 3.7364 (3.3577)]
[0m 24s (540 67%) 3.7356 (3.2976)]
[0m 24s (541 67%) 3.7352 (3.5570)]
[0m 24s (542 67%) 3.7343 (3.2430)]
[0m 24s (543 67%) 3.7333 (3.1550)]
[0m 24s (544 68%) 3.7330 (3.5821)]
[0m 24s (544 68%) 3.7330 (3.5821)]
[0m 24s (546 68%) 3.7315 (2.6676)]
[0m 24s (547 68%) 3.7305 (3.2131)]
[0m 24s (549 68%) 3.7299 (3.0789)]
[0m 24s (550 68%) 3.7297 (3.6321)]
[0m 24s (551 68%) 3.7287 (3.1838)]
[0m 24s (552 69%) 3.7281 (3.4067)]
[0m 24s (552 69%) 3.7281 (3.4067)]
[0m 25s (553 69%) 3.7273 (3.2478)]
[0m 25s (556 69%) 3.7270 (3.1283)]
[0m 25s (557 69%) 3.7267 (3.5717)]
[0m 25s (558 69%) 3.7254 (2.9667)]
[0m 25s (559 69%) 3.7253 (3.6836)]
[0m 25s (560 70%) 3.7243 (3.1615)]
[0m 25s (560 70%) 3.7243 (3.1615)]
[0m 25s (562 70%) 3.7235 (3.2713)]
[0m 25s (563 70%) 3.7229 (3.3598)]
[0m 25s (564 70%) 3.7204 (2.3260)]
[0m 25s (565 70%) 3.7194 (3.1503)]
[0m 25s (567 70%) 3.7192 (3.2343)]
[0m 25s (568 71%) 3.7186 (3.3488)]
[0m 25s (568 71%) 3.7186 (3.3488)]
[0m 25s (569 71%) 3.7181 (3.4608)]
[0m 25s (570 71%) 3.7180 (3.6513)]
[0m 25s (571 71%) 3.7176 (3.4686)]
[0m 25s (572 71%) 3.7167 (3.2030)]
[0m 25s (573 71%) 3.7167 (3.7089)]
[0m 26s (574 71%) 3.7155 (3.0731)]
[0m 26s (575 71%) 3.7140 (2.8083)]
[0m 26s (576 72%) 3.7125 (2.8732)]
[0m 26s (576 72%) 3.7125 (2.8732)]
[0m 26s (577 72%) 3.7116 (3.1895)]
[0m 26s (580 72%) 3.7103 (2.9648)]
[0m 26s (581 72%) 3.7094 (3.1464)]
[0m 26s (582 72%) 3.7075 (2.6109)]
[0m 26s (583 72%) 3.7057 (2.6585)]
[0m 26s (584 73%) 3.7050 (3.2846)]
[0m 26s (584 73%) 3.7050 (3.2846)]
[0m 26s (585 73%) 3.7040 (3.1716)]
[0m 26s (586 73%) 3.7036 (3.4381)]
[0m 26s (588 73%) 3.7020 (2.5961)]
[0m 26s (589 73%) 3.7002 (2.6311)]
[0m 26s (590 73%) 3.6992 (3.0753)]
[0m 26s (591 73%) 3.6979 (2.9240)]
[0m 26s (592 74%) 3.6967 (2.9879)]
[0m 26s (592 74%) 3.6967 (2.9879)]
[0m 27s (597 74%) 3.6962 (3.2904)]
[0m 27s (598 74%) 3.6948 (2.8189)]
[0m 27s (599 74%) 3.6932 (2.7671)]
[0m 27s (600 75%) 3.6945 (4.4569)]
[0m 27s (602 75%) 3.6930 (2.6316)]
[0m 27s (604 75%) 3.6917 (2.8734)]
[0m 27s (607 75%) 3.6914 (3.2544)]
[0m 27s (608 76%) 3.6905 (3.1174)]
[0m 27s (608 76%) 3.6905 (3.1174)]
[0m 27s (610 76%) 3.6902 (3.0948)]
[0m 27s (612 76%) 3.6895 (2.5952)]
[0m 27s (614 76%) 3.6893 (3.3707)]
[0m 27s (615 76%) 3.6885 (3.2035)]
[0m 27s (616 77%) 3.6894 (4.1998)]
[0m 28s (618 77%) 3.6879 (2.9904)]
[0m 28s (619 77%) 3.6866 (2.8776)]
[0m 28s (620 77%) 3.6858 (3.1538)]
[0m 28s (621 77%) 3.6845 (2.9178)]
[0m 28s (622 77%) 3.6836 (3.1221)]
[0m 28s (623 77%) 3.6831 (3.3267)]
[0m 28s (624 78%) 3.6821 (3.0954)]
[0m 28s (624 78%) 3.6821 (3.0954)]
[0m 28s (625 78%) 3.6811 (3.0429)]
[0m 28s (626 78%) 3.6808 (3.5219)]
[0m 28s (630 78%) 3.6802 (2.9637)]
[0m 28s (632 79%) 3.6800 (3.3055)]
[0m 28s (632 79%) 3.6800 (3.3055)]
[0m 28s (633 79%) 3.6781 (2.4663)]
[0m 28s (634 79%) 3.6767 (2.7872)]
[0m 28s (635 79%) 3.6750 (2.5969)]
[0m 28s (636 79%) 3.6742 (3.2193)]
[0m 28s (637 79%) 3.6738 (3.4254)]
[0m 28s (638 79%) 3.6729 (3.0565)]
[0m 28s (639 79%) 3.6723 (3.2791)]
[0m 29s (640 80%) 3.6725 (3.8522)]
[0m 29s (642 80%) 3.6710 (2.4677)]
[0m 29s (643 80%) 3.6704 (3.2769)]
[0m 29s (644 80%) 3.6697 (3.1812)]
[0m 29s (645 80%) 3.6692 (3.4091)]
[0m 29s (646 80%) 3.6679 (2.7798)]
[0m 29s (647 80%) 3.6673 (3.2911)]
[0m 29s (648 81%) 3.6663 (2.9984)]
[0m 29s (648 81%) 3.6663 (2.9984)]
[0m 29s (650 81%) 3.6654 (2.8344)]
[0m 29s (651 81%) 3.6645 (3.0982)]
[0m 29s (652 81%) 3.6644 (3.5717)]
[0m 29s (653 81%) 3.6631 (2.8675)]
[0m 29s (654 81%) 3.6624 (3.1907)]
[0m 29s (655 81%) 3.6613 (2.9079)]
[0m 29s (656 82%) 3.6604 (3.1019)]
[0m 29s (656 82%) 3.6604 (3.1019)]
[0m 30s (662 82%) 3.6591 (2.6171)]
[0m 30s (663 82%) 3.6579 (2.8792)]
[0m 30s (664 83%) 3.6569 (2.9595)]
[0m 30s (664 83%) 3.6569 (2.9595)]
[0m 30s (665 83%) 3.6565 (3.3748)]
[0m 30s (666 83%) 3.6555 (3.0136)]
[0m 30s (667 83%) 3.6540 (2.6205)]
[0m 30s (668 83%) 3.6535 (3.3756)]
[0m 30s (669 83%) 3.6531 (3.3619)]
[0m 30s (671 83%) 3.6530 (3.1649)]
[0m 30s (672 84%) 3.6535 (4.0196)]
[0m 30s (674 84%) 3.6525 (3.0109)]
[0m 30s (675 84%) 3.6512 (2.8078)]
[0m 30s (676 84%) 3.6506 (3.2013)]
[0m 30s (677 84%) 3.6495 (2.9517)]
[0m 30s (678 84%) 3.6486 (2.9936)]
[0m 30s (679 84%) 3.6485 (3.5961)]
[0m 30s (680 85%) 3.6467 (2.4379)]
[0m 30s (680 85%) 3.6467 (2.4379)]
[0m 30s (681 85%) 3.6460 (3.1508)]
[0m 30s (682 85%) 3.6452 (3.1234)]
[0m 31s (683 85%) 3.6450 (3.4908)]
[0m 31s (684 85%) 3.6436 (2.7190)]
[0m 31s (685 85%) 3.6428 (3.0510)]
[0m 31s (686 85%) 3.6422 (3.2669)]
[0m 31s (688 86%) 3.6441 (3.4296)]
[0m 31s (692 86%) 3.6418 (3.0268)]
[0m 31s (693 86%) 3.6412 (3.2028)]
[0m 31s (694 86%) 3.6396 (2.5328)]
[0m 31s (695 86%) 3.6394 (3.4710)]
[0m 31s (696 87%) 3.6389 (3.2992)]
[0m 31s (696 87%) 3.6389 (3.2992)]
[0m 31s (697 87%) 3.6380 (3.0675)]
[0m 31s (699 87%) 3.6375 (2.8847)]
[0m 32s (704 88%) 3.6400 (3.5470)]
[0m 32s (708 88%) 3.6371 (3.0404)]
[0m 32s (712 89%) 3.6378 (3.7108)]
[0m 32s (713 89%) 3.6370 (3.0568)]
[0m 32s (714 89%) 3.6363 (3.1357)]
[0m 32s (715 89%) 3.6361 (3.5396)]
[0m 32s (716 89%) 3.6350 (2.7783)]
[0m 32s (717 89%) 3.6338 (2.8279)]
[0m 32s (720 90%) 3.6329 (2.7222)]
[0m 32s (720 90%) 3.6329 (2.7222)]
[0m 32s (721 90%) 3.6323 (3.2679)]
[0m 32s (722 90%) 3.6319 (3.3018)]
[0m 32s (723 90%) 3.6314 (3.2939)]
[0m 33s (724 90%) 3.6306 (3.0596)]
[0m 33s (725 90%) 3.6298 (3.0584)]
[0m 33s (727 90%) 3.6298 (3.1105)]
[0m 33s (728 91%) 3.6292 (3.2208)]
