Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-35x9f4at because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
e thee.

CLAUD
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 3s (361 60%) 3.1539 (2.4677)]
[0m 3s (363 60%) 3.1518 (2.2669)]
[0m 3s (365 60%) 3.1512 (2.8080)]
[0m 3s (366 61%) 3.1498 (2.6443)]
[0m 3s (366 61%) 3.1498 (2.6443)]
[0m 3s (367 61%) 3.1486 (2.7312)]
[0m 3s (368 61%) 3.1484 (3.0501)]
[0m 3s (369 61%) 3.1463 (2.3943)]
[0m 3s (370 61%) 3.1447 (2.5268)]
[0m 3s (371 61%) 3.1437 (2.7867)]
[0m 3s (372 62%) 3.1416 (2.3845)]
[0m 3s (372 62%) 3.1416 (2.3845)]
[0m 3s (373 62%) 3.1399 (2.4768)]
[0m 3s (374 62%) 3.1374 (2.2057)]
[0m 3s (375 62%) 3.1343 (1.9779)]
[0m 3s (377 62%) 3.1331 (2.5033)]
[0m 3s (378 63%) 3.1304 (2.1320)]
[0m 3s (378 63%) 3.1304 (2.1320)]
[0m 3s (379 63%) 3.1297 (2.8565)]
[0m 3s (380 63%) 3.1296 (3.0867)]
[0m 3s (381 63%) 3.1281 (2.5491)]
[0m 3s (382 63%) 3.1275 (2.9064)]
[0m 3s (383 63%) 3.1273 (3.0511)]
[0m 4s (384 64%) 3.1257 (2.5314)]
[0m 4s (384 64%) 3.1257 (2.5314)]
[0m 4s (385 64%) 3.1229 (2.0322)]
[0m 4s (386 64%) 3.1214 (2.5380)]
[0m 4s (387 64%) 3.1205 (2.7968)]
[0m 4s (390 65%) 3.1213 (2.7573)]
[0m 4s (391 65%) 3.1183 (1.9420)]
[0m 4s (392 65%) 3.1175 (2.8023)]
[0m 4s (393 65%) 3.1165 (2.7442)]
[0m 4s (394 65%) 3.1158 (2.8403)]
[0m 4s (395 65%) 3.1146 (2.6204)]
[0m 4s (396 66%) 3.1134 (2.6422)]
[0m 4s (396 66%) 3.1134 (2.6422)]
[0m 4s (397 66%) 3.1134 (3.1079)]
[0m 4s (402 67%) 3.1139 (2.4821)]
[0m 4s (404 67%) 3.1130 (2.6774)]
[0m 4s (405 67%) 3.1102 (1.9962)]
[0m 4s (406 67%) 3.1101 (3.0741)]
[0m 4s (407 67%) 3.1091 (2.6785)]
[0m 4s (408 68%) 3.1088 (3.0072)]
[0m 4s (408 68%) 3.1088 (3.0072)]
[0m 4s (409 68%) 3.1076 (2.6315)]
[0m 4s (410 68%) 3.1058 (2.3330)]
[0m 4s (411 68%) 3.1047 (2.6815)]
[0m 4s (414 69%) 3.1039 (2.4563)]
[0m 4s (414 69%) 3.1039 (2.4563)]
[0m 4s (417 69%) 3.1024 (2.3573)]
[0m 4s (418 69%) 3.1022 (3.0262)]
[0m 4s (419 69%) 3.1020 (3.0332)]
[0m 4s (420 70%) 3.1005 (2.4887)]
[0m 4s (420 70%) 3.1005 (2.4887)]
[0m 4s (421 70%) 3.0998 (2.7892)]
[0m 4s (422 70%) 3.0991 (2.8045)]
[0m 4s (423 70%) 3.0991 (3.0979)]
[0m 4s (424 70%) 3.0984 (2.7931)]
[0m 4s (425 70%) 3.0978 (2.8634)]
[0m 4s (426 71%) 3.0966 (2.5563)]
[0m 4s (426 71%) 3.0966 (2.5563)]
[0m 4s (427 71%) 3.0939 (1.9572)]
[0m 4s (428 71%) 3.0924 (2.4648)]
[0m 4s (429 71%) 3.0922 (2.9969)]
[0m 4s (430 71%) 3.0919 (2.9791)]
[0m 4s (432 72%) 3.0910 (2.1447)]
[0m 4s (432 72%) 3.0910 (2.1447)]
[0m 4s (434 72%) 3.0899 (2.3692)]
[0m 4s (435 72%) 3.0888 (2.6510)]
[0m 4s (436 72%) 3.0862 (1.9425)]
[0m 4s (438 73%) 3.0874 (3.2359)]
[0m 4s (441 73%) 3.0848 (2.3278)]
[0m 4s (442 73%) 3.0835 (2.4792)]
[0m 4s (444 74%) 3.0845 (3.1104)]
[0m 4s (445 74%) 3.0828 (2.3181)]
[0m 4s (446 74%) 3.0816 (2.5374)]
[0m 4s (449 74%) 3.0813 (2.7032)]
[0m 4s (450 75%) 3.0800 (2.4777)]
[0m 4s (450 75%) 3.0800 (2.4777)]
[0m 4s (451 75%) 3.0789 (2.5800)]
[0m 4s (452 75%) 3.0788 (3.0627)]
[0m 4s (456 76%) 3.0782 (2.4530)]
[0m 4s (456 76%) 3.0782 (2.4530)]
[0m 4s (458 76%) 3.0779 (2.7553)]
[0m 4s (462 77%) 3.0771 (2.5012)]
[0m 4s (462 77%) 3.0771 (2.5012)]
[0m 4s (463 77%) 3.0768 (2.9642)]
[0m 4s (464 77%) 3.0767 (3.0352)]
[0m 4s (465 77%) 3.0751 (2.3306)]
[0m 4s (467 77%) 3.0745 (2.7476)]
[0m 4s (468 78%) 3.0751 (3.3422)]
[0m 4s (469 78%) 3.0735 (2.3161)]
[0m 4s (471 78%) 3.0723 (2.4685)]
[0m 5s (472 78%) 3.0705 (2.2307)]
[0m 5s (473 78%) 3.0695 (2.5912)]
[0m 5s (474 79%) 3.0687 (2.6795)]
[0m 5s (474 79%) 3.0687 (2.6795)]
[0m 5s (476 79%) 3.0672 (1.9439)]
[0m 5s (477 79%) 3.0663 (2.6725)]
[0m 5s (479 79%) 3.0655 (2.5240)]
[0m 5s (480 80%) 3.0644 (2.5475)]
[0m 5s (480 80%) 3.0644 (2.5475)]
[0m 5s (481 80%) 3.0629 (2.2969)]
[0m 5s (483 80%) 3.0624 (2.6510)]
[0m 5s (486 81%) 3.0619 (2.7542)]
[0m 5s (486 81%) 3.0619 (2.7542)]
[0m 5s (487 81%) 3.0606 (2.4298)]
[0m 5s (488 81%) 3.0601 (2.8176)]
[0m 5s (489 81%) 3.0597 (2.8788)]
[0m 5s (490 81%) 3.0585 (2.4507)]
[0m 5s (491 81%) 3.0580 (2.8345)]
[0m 5s (492 82%) 3.0571 (2.5912)]
[0m 5s (492 82%) 3.0571 (2.5912)]
[0m 5s (495 82%) 3.0563 (2.2163)]
[0m 5s (496 82%) 3.0541 (1.9808)]
[0m 5s (497 82%) 3.0529 (2.4705)]
[0m 5s (498 83%) 3.0518 (2.4963)]
[0m 5s (498 83%) 3.0518 (2.4963)]
[0m 5s (499 83%) 3.0516 (2.9420)]
[0m 5s (501 83%) 3.0514 (2.7632)]
[0m 5s (502 83%) 3.0508 (2.7262)]
[0m 5s (503 83%) 3.0501 (2.7043)]
[0m 5s (504 84%) 3.0498 (2.9235)]
[0m 5s (504 84%) 3.0498 (2.9235)]
[0m 5s (505 84%) 3.0497 (2.9969)]
[0m 5s (506 84%) 3.0491 (2.7154)]
[0m 5s (507 84%) 3.0484 (2.7237)]
[0m 5s (508 84%) 3.0475 (2.5574)]
[0m 5s (509 84%) 3.0470 (2.8072)]
[0m 5s (510 85%) 3.0460 (2.5538)]
[0m 5s (510 85%) 3.0460 (2.5538)]
[0m 5s (511 85%) 3.0443 (2.1473)]
[0m 5s (513 85%) 3.0441 (2.4199)]
[0m 5s (514 85%) 3.0433 (2.6064)]
[0m 5s (515 85%) 3.0423 (2.5110)]
