Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-askujl9r because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
mortal blessin
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 4s (444 74%) 3.2375 (3.1769)]
[0m 4s (444 74%) 3.2375 (3.1769)]
[0m 4s (445 74%) 3.2371 (3.0648)]
[0m 4s (446 74%) 3.2364 (2.9219)]
[0m 4s (447 74%) 3.2352 (2.7088)]
[0m 4s (450 75%) 3.2346 (2.9334)]
[0m 4s (450 75%) 3.2346 (2.9334)]
[0m 4s (451 75%) 3.2345 (3.1978)]
[0m 5s (453 75%) 3.2341 (2.7522)]
[0m 5s (454 75%) 3.2328 (2.6413)]
[0m 5s (456 76%) 3.2335 (3.5320)]
[0m 5s (457 76%) 3.2327 (2.8610)]
[0m 5s (458 76%) 3.2304 (2.2044)]
[0m 5s (459 76%) 3.2304 (3.2209)]
[0m 5s (460 76%) 3.2288 (2.4950)]
[0m 5s (461 76%) 3.2278 (2.7416)]
[0m 5s (462 77%) 3.2283 (3.4900)]
[0m 5s (463 77%) 3.2271 (2.6690)]
[0m 5s (464 77%) 3.2264 (2.9025)]
[0m 5s (465 77%) 3.2251 (2.5902)]
[0m 5s (466 77%) 3.2243 (2.8571)]
[0m 5s (467 77%) 3.2238 (2.9915)]
[0m 5s (468 78%) 3.2227 (2.7212)]
[0m 5s (468 78%) 3.2227 (2.7212)]
[0m 5s (469 78%) 3.2215 (2.6830)]
[0m 5s (470 78%) 3.2199 (2.4540)]
[0m 5s (474 79%) 3.2201 (2.5809)]
[0m 5s (475 79%) 3.2193 (2.8224)]
[0m 5s (476 79%) 3.2183 (2.7342)]
[0m 5s (477 79%) 3.2170 (2.6074)]
[0m 5s (478 79%) 3.2156 (2.5430)]
[0m 5s (479 79%) 3.2145 (2.6905)]
[0m 5s (480 80%) 3.2128 (2.4147)]
[0m 5s (480 80%) 3.2128 (2.4147)]
[0m 5s (481 80%) 3.2118 (2.7127)]
[0m 5s (482 80%) 3.2098 (2.2796)]
[0m 5s (483 80%) 3.2082 (2.4249)]
[0m 5s (484 80%) 3.2067 (2.4992)]
[0m 5s (485 80%) 3.2052 (2.4733)]
[0m 5s (486 81%) 3.2055 (3.3239)]
[0m 5s (487 81%) 3.2052 (3.0562)]
[0m 5s (488 81%) 3.2036 (2.4222)]
