Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-bndzyxmz because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
p;
And thou no
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 39s (626 78%) 3.3729 (2.5331)]
[0m 39s (627 78%) 3.3725 (3.0955)]
[0m 39s (628 78%) 3.3716 (2.8073)]
[0m 39s (629 78%) 3.3714 (3.2442)]
[0m 40s (631 78%) 3.3713 (3.2377)]
[0m 40s (632 79%) 3.3707 (3.0165)]
[0m 40s (632 79%) 3.3707 (3.0165)]
[0m 40s (633 79%) 3.3698 (2.8310)]
[0m 40s (634 79%) 3.3689 (2.7478)]
[0m 40s (635 79%) 3.3674 (2.4350)]
[0m 40s (636 79%) 3.3674 (3.3500)]
[0m 40s (637 79%) 3.3671 (3.2206)]
[0m 40s (638 79%) 3.3670 (3.2679)]
[0m 40s (640 80%) 3.3667 (3.1545)]
[0m 40s (640 80%) 3.3667 (3.1545)]
[0m 40s (641 80%) 3.3657 (2.7361)]
[0m 40s (642 80%) 3.3651 (2.9608)]
[0m 40s (643 80%) 3.3646 (3.0395)]
[0m 40s (644 80%) 3.3639 (2.9474)]
[0m 40s (645 80%) 3.3626 (2.5047)]
[0m 40s (646 80%) 3.3611 (2.4270)]
[0m 40s (647 80%) 3.3610 (3.2825)]
[0m 40s (648 81%) 3.3606 (3.0919)]
[0m 40s (648 81%) 3.3606 (3.0919)]
[0m 40s (649 81%) 3.3604 (3.2420)]
[0m 40s (650 81%) 3.3600 (3.1177)]
[0m 41s (651 81%) 3.3596 (3.0987)]
[0m 41s (652 81%) 3.3593 (3.1631)]
[0m 41s (653 81%) 3.3579 (2.3893)]
[0m 41s (655 81%) 3.3571 (2.7591)]
[0m 41s (656 82%) 3.3586 (4.3764)]
[0m 41s (659 82%) 3.3565 (2.9510)]
[0m 41s (660 82%) 3.3558 (2.8732)]
[0m 41s (661 82%) 3.3547 (2.6563)]
[0m 41s (662 82%) 3.3536 (2.6268)]
[0m 41s (663 82%) 3.3522 (2.3904)]
[0m 41s (664 83%) 3.3511 (2.6178)]
[0m 41s (664 83%) 3.3511 (2.6178)]
[0m 41s (667 83%) 3.3509 (2.8054)]
[0m 41s (668 83%) 3.3494 (2.3865)]
[0m 41s (669 83%) 3.3482 (2.5370)]
[0m 41s (670 83%) 3.3470 (2.5456)]
[0m 42s (672 84%) 3.3467 (2.7568)]
[0m 42s (672 84%) 3.3467 (2.7568)]
[0m 42s (673 84%) 3.3462 (3.0039)]
[0m 42s (674 84%) 3.3451 (2.6189)]
[0m 42s (675 84%) 3.3440 (2.5836)]
[0m 42s (676 84%) 3.3429 (2.5971)]
[0m 42s (677 84%) 3.3428 (3.3273)]
[0m 42s (679 84%) 3.3426 (3.0256)]
[0m 42s (680 85%) 3.3421 (3.0403)]
[0m 42s (680 85%) 3.3421 (3.0403)]
[0m 42s (681 85%) 3.3412 (2.6779)]
[0m 42s (682 85%) 3.3406 (2.9499)]
[0m 42s (683 85%) 3.3396 (2.6917)]
[0m 42s (684 85%) 3.3396 (3.2798)]
[0m 42s (685 85%) 3.3391 (3.0209)]
